bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
Bangor Savings Bank,2023-H2,2,Elevate Pay; Kasheesh,2,Elevate Pay; Kasheesh,0,,0,,0,
Bangor Savings Bank,2024-H1,2,Accrue Savings; Elevate Pay,2,Accrue Savings; Elevate Pay,0,,0,,0,
Bangor Savings Bank,2024-H2,2,Accrue Savings; Kasheesh,2,Accrue Savings; Kasheesh,0,,0,,0,
Bangor Savings Bank,2025-H1,1,Accrue Savings,1,Accrue Savings,0,,0,,0,
Bangor Savings Bank,2025-H2,2,Mazoola; Kasheesh,2,Mazoola; Kasheesh,0,,0,,0,
Bangor Savings Bank,2026-H1,1,Kasheesh,1,Kasheesh,0,,0,,0,
Bank Partner,2022-H2,1,Sammy,1,Sammy,0,,0,,0,
Bank of America,2010-H1,1,CurrencyFair,0,,0,,1,CurrencyFair,0,
Bank of America,2022-H1,1,AAA,0,,0,,0,,1,AAA
BankProv,2023-H2,1,Fortress Trust,1,Fortress Trust,0,,0,,0,
BankProv / member DIF,2022-H2,1,Republic,0,,0,,0,,0,
BankProv / member DIF,2023-H2,1,Republic,0,,0,,0,,0,
Banking services are provided by Lead Bank,2026-H1,1,Found,1,Found,0,,0,,0,
Banking services are provided by Thread Bank*,2025-H1,1,Arpari,1,Arpari,0,,0,,0,
Banking services provided by Blue Ridge Bank;. The Hearth Visa® Debit Card is issued by Blue Ridge Bank pursuant to a license from Visa U.S.A.,2023-H1,1,Hearth,1,Hearth,0,,0,,0,
Banking services provided by Blue Ridge Bank;. The Hearth VisaÂ® Debit Card is issued by Blue Ridge Bank pursuant to a license from Visa U.S.A.,2022-H2,1,Hearth,1,Hearth,0,,0,,0,
Banking services provided by Thread Bank. The Arpari Visa Debit Card is issued by Thread Bank pursuant to a license from Visa U.S.A Inc.,2025-H2,1,Arpari,1,Arpari,0,,0,,0,
"Banking services provided by our partner, Green Dot Bank.",2023-H2,1,Intuit,0,,0,,0,,0,
"Banking services provided by our partner, Green Dot Bank; Green Dot Bank; Green Dot Bank",2024-H1,1,Intuit,0,,0,,0,,0,
Banks,2022-H1,1,Gemini,0,,0,,0,,0,
Barclays,2019-H2,1,Uber,0,,0,,0,,1,Uber
Barclays,2020-H1,1,Uber,1,Uber,0,,0,,1,Uber
Beneficial State Bank,2022-H1,1,Aspiration,0,,0,,0,,1,Aspiration
Beneficial State Bank,2022-H2,1,Aspiration,0,,0,,0,,1,Aspiration
Beneficial State Bank,2023-H1,1,Aspiration,0,,0,,0,,1,Aspiration
Beneficial State Bank,2023-H2,1,Aspiration,0,,0,,0,,1,Aspiration
